T	Energy	DE	Helicity Modulus	DHM	defects_a	Dna	defects_b	Dnb	Polyakov Loop	DPL	autocorrelation	n_sweeps	acceptance
100	-28.0557	1513.61	0	0	458	106	468	183	0.021408	0.00245933	12	12	0.9924
90	-67.2694	4799.07	0	0	454	205	473	247	-0.0198634	0.00119481	10	10	0.9898
81	-48.3135	4810.45	0	0	468	143	463	110	-0.00476032	0.00353432	10	10	0.9906
72.9	-73.32	2387.55	0	0	455	137	459	215	-0.00955796	0.0031338	10	10	0.987
65.61	-83.6294	6707.29	0	0	461	355	457	275	0.0052961	0.00244162	11	11	0.9892
59.049	-86.4129	5894.72	0	0	464	193	460	288	0.0153879	0.00327075	10	10	0.9862
53.1441	-49.6049	1375.88	0	0	462	188	471	219	0.0040388	0.00361602	10	10	0.9852
47.8297	-102.199	2467.54	0	0	462	177	462	137	0.0221664	0.00239841	10	10	0.9822
43.0467	-70.1488	3745.86	0	0	463	296	461	238	-0.0213424	0.00086918	14	14	0.9816
38.742	-111.577	6028.03	0	0	461	277	462	121	-0.00142118	0.000676296	16	16	0.978
34.8678	-109.243	4406.2	0	0	459	150	458	124	-0.0174863	0.00286108	10	10	0.9764
31.3811	-137.485	3795.25	0	0	460	173	462	154	0.0118022	0.00254076	10	10	0.9748
28.243	-161.869	1966.33	0	0	460	553	458	170	-0.00847847	0.00191075	11	11	0.9668
25.4187	-190.497	3885.02	0	0	459	187	462	278	0.0129033	0.00247685	10	10	0.9646
22.8768	-157.221	5401.69	0	0	464	473	468	260	0.00100362	0.00304322	10	10	0.9588
20.5891	-180.874	7026.84	0	0	460	172	460	70	-0.0230247	0.00080434	11	11	0.953
18.5302	-203.235	3117.39	0	0	455	62	467	171	0.0179756	0.00126464	12	12	0.954
16.6772	-259.344	8477.87	0	0	461	212	463	98	0.016884	0.000999453	10	10	0.95
15.0095	-262.138	2965.58	0	0	459	202	461	171	-0.00761078	0.00317861	16	16	0.9348
13.5085	-308.294	1990.11	0	0	454	283	460	247	-0.0228838	0.00108783	10	10	0.9372
12.1577	-323.175	2576.2	0	0	459	257	465	270	-0.0262848	0.00233354	10	10	0.9208
10.9419	-355.371	2324.43	0	0	462	365	468	177	-0.0365091	0.0017401	10	10	0.9204
9.84771	-414.933	3208.24	0	0	470	212	463	130	-0.000706505	0.00267565	15	15	0.909
8.86294	-412.724	4260.56	0	0	470	143	461	98	0.0232305	0.00249007	15	15	0.8946
7.97664	-502.394	3379.1	0	0	464	279	469	233	-0.0266917	0.000753022	10	10	0.8928
7.17898	-519.338	3098.02	0	0	462	245	461	143	0.00566386	0.000725433	11	11	0.8704
6.46108	-614.768	4121.93	0	0	465	219	463	183	0.00298737	0.00161244	12	12	0.865
5.81497	-665.828	1513.4	0	0	465	187	459	250	0.0245752	0.00150526	10	10	0.8504
5.23348	-773.611	3686.99	0	0	455	340	466	196	0.000546713	0.00235619	15	15	0.8282
4.71013	-836.2	9541.3	0	0	464	31	454	140	0.0280145	0.00108735	11	11	0.8102
4.23912	-924.396	5096.37	0	0	470	244	459	79	-0.0155747	0.00139996	11	11	0.8014
3.8152	-1013.3	9153.99	0	0	463	446	456	399	0.00874959	0.00232353	10	10	0.7702
3.43368	-1131.25	2532.03	0	0	457	297	459	113	0.00430835	0.00281912	16	16	0.7478
3.09032	-1203.22	4332.83	0	0	461	155	457	122	0.00780124	0.00133723	22	22	0.7242
2.78128	-1378.47	3435.61	0	0	459	96	460	120	0.0140514	0.00100477	10	10	0.6944
2.50316	-1535.23	3634.42	0	0	461	204	462	248	0.0193028	0.00105571	20	20	0.667
2.25284	-1687.01	7219.7	0	0	456	153	452	143	0.00383887	0.0031114	25	25	0.6208
2.02756	-1874.24	2148.47	0	0	445	202	450	128	-0.000432497	0.00210021	21	21	0.6058
1.8248	-2136.27	2788.54	0	0	446	52	450	241	-0.0257457	0.00223867	19	19	0.561
1.64232	-2325.18	8143.96	0	0	438	168	440	126	-0.0175042	0.000990383	34	34	0.5236
1.47809	-2576.01	1766.98	0	0	443	284	441	101	-0.0256788	0.0034466	23	23	0.4984
1.33028	-2900.82	1609.35	0	0	434	194	430	115	0.00321023	0.00373025	71	71	0.5016
1.19725	-3311.11	2894.43	0	0	418	273	419	386	0.00914137	0.00319878	80	80	0.4836
1.07753	-3843.37	12094.5	0	0	406	134	397	28	-0.00774091	0.00176595	178	178	0.4868
0.969774	-5264.31	10393.7	0	0	338	108	326	199	-0.00948709	0.00288486	1968	1968	0.509
0.872796	-5708.3	2734.23	0	0	287	152	285	202	0.0099429	0.00303666	98	98	0.4912
0.785517	-6005.3	777.655	0	0	248	203	244	405	-0.0301357	0.00181947	79	79	0.486
0.706965	-6202.52	1197.81	0	0	207	151	212	209	-0.00639092	0.00403639	66	66	0.4932
0.636269	-6382.23	732.776	0	0	178	307	174	150	0.011011	0.00133224	60	60	0.497
0.572642	-6569.2	581.113	0	0	133	156	134	176	0.0197657	0.000596661	58	58	0.5012
0.515378	-6691.5	693.243	0	0	110	56	106	92	-0.00108967	0.00144639	84	84	0.4978
0.46384	-6809.37	128.887	0	0	80	71	83	95	0.0240852	0.00350245	40	40	0.481
0.417456	-6912.11	314.156	0	0	54	28	56	25	0.0273879	0.00373238	37	37	0.4964
0.37571	-7009.92	226.568	0	0	40	80	40	57	-0.00485978	0.00240562	43	43	0.5142
0.338139	-7082.31	173.333	0	0	25	16	22	15	-0.0298259	0.0012673	64	64	0.5036
0.304325	-7146.89	141.016	0	0	16	11	16	15	0.00653071	0.00182312	40	40	0.4876
0.273893	-7221.29	90.9231	0	0	8	11	8	5	-0.00886261	0.0012034	74	74	0.4932
0.246503	-7271.03	111.127	0	0	5	6	5	3	0.022543	0.000383525	47	47	0.4886
0.221853	-7331.96	38.2173	0	0	2	2	2	4	-0.0103725	0.00214676	42	42	0.5242
0.199668	-7374.75	111.391	0	0	0	1	0	1	-0.0413285	0.00170687	47	47	0.5036
0.179701	-7419.03	83.297	0	0	0	0	0	1	0.0178639	0.00128261	34	34	0.5024
0.161731	-7453.34	54.6674	0	0	0	0	0	0	-0.0274715	0.00146696	47	47	0.507
0.145558	-7487.49	26.131	0	0	0	0	0	0	0.0398194	0.00299778	38	38	0.4952
0.131002	-7518.79	28.5746	0	0	0	0	0	0	-0.000315524	0.00284445	37	37	0.5068
0.117902	-7545.04	30.7932	0	0	0	0	0	0	-0.0115505	0.0017859	27	27	0.495
0.106112	-7568.4	13.3362	0	0	0	0	0	0	0.0238718	0.00204025	33	33	0.4976
0.0955005	-7587.3	12.4566	0	0	0	0	0	0	0.0098735	0.00206148	33	33	0.495
0.0859504	-7605.5	19.1348	0	0	0	0	0	0	0.0231962	0.00241917	26	26	0.5048
0.0773554	-7623.49	13.4021	0	0	0	0	0	0	0.00695771	0.00176771	82	82	0.4998
0.0696199	-7638.75	9.06125	0	0	0	0	0	0	-0.0121281	0.00171619	37	37	0.5066
0.0626579	-7652.72	9.47529	0	0	0	0	0	0	-0.0136569	0.00168286	29	29	0.4964
0.0563921	-7664.5	4.03639	0	0	0	0	0	0	-0.0216568	0.00296379	37	37	0.5002
0.0507529	-7676.99	3.15672	0	0	0	0	0	0	-0.0159448	0.00202844	52	52	0.504
0.0456776	-7686.56	2.3724	0	0	0	0	0	0	0.0119936	0.00089518	44	44	0.4988
0.0411098	-7695.52	5.79586	0	0	0	0	0	0	-0.0277398	0.00178867	28	28	0.4942
0.0369988	-7704.21	3.22099	0	0	0	0	0	0	0.0096302	0.00174908	60	60	0.5112
0.033299	-7711.24	1.92846	0	0	0	0	0	0	0.0178435	0.00128029	48	48	0.4908
0.0299691	-7717.52	0.814997	0	0	0	0	0	0	0.00695524	0.00177496	26	26	0.5108
