T	Energy	DE	Helicity Modulus	DHM	defects_a	Dna	defects_b	Dnb	Polyakov Loop	DPL	autocorrelation	n_sweeps	acceptance
100	-0.796573	68.0261	0.00126057	0.00420659	8	5	9	4	0	0	14	14	1
90	-1.6473	57.6358	0.00740579	0.00356813	8	4	8	4	0	0	14	14	1
81	-0.444664	71.1195	-0.00257078	0.00433203	8	4	9	3	0	0	14	14	0.984375
72.9	-0.807711	61.2495	-0.00103198	0.0038825	8	4	8	5	0	0	14	14	1
65.61	-1.017	68.5061	-0.00033134	0.00433109	8	4	8	4	0	0	14	14	1
59.049	-0.449323	65.7754	-0.00520312	0.00409581	9	3	8	4	0	0	15	15	0.96875
53.1441	-1.06103	56.421	-0.000633141	0.00368835	9	3	9	3	0	0	13	13	1
47.8297	-1.40083	57.7218	0.000335985	0.00377872	9	3	9	3	0	0	14	14	0.984375
43.0467	-1.88127	59.5759	0.00342246	0.00394669	8	4	8	4	0	0	14	14	1
38.742	-1.53032	65.8503	-0.00120862	0.00414806	8	4	8	4	0	0	14	14	1
34.8678	-1.47333	62.8609	-0.00340273	0.00423436	8	5	8	4	0	0	14	14	0.96875
31.3811	-2.22746	63.2122	0.00156312	0.00434807	8	4	8	3	0	0	14	14	0.96875
28.243	-1.17498	58.1081	-0.00954065	0.00394237	8	4	8	4	0	0	14	14	0.984375
25.4187	-2.19753	70.8207	-0.00187329	0.00497022	8	3	8	4	0	0	14	14	0.921875
22.8768	-2.79251	61.8057	0.00224031	0.0042126	8	4	8	4	0	0	15	15	0.96875
20.5891	-3.61889	66.5897	0.00162028	0.00576214	8	4	8	4	0	0	14	14	1
18.5302	-4.39083	65.5669	0.00567265	0.0060757	8	4	8	4	0	0	13	13	0.96875
16.6772	-3.78774	62.4182	-0.000991113	0.00572712	8	4	8	4	0	0	15	15	0.953125
15.0095	-4.29817	63.5319	0.000679305	0.00639371	8	4	8	4	0	0	14	14	0.96875
13.5085	-4.67847	62.8319	-0.00434932	0.00667585	8	4	8	4	0	0	15	15	0.953125
12.1577	-5.57567	66.6083	0.003189	0.0069482	8	4	8	4	0	0	15	15	0.953125
10.9419	-5.73448	72.3416	0.000466346	0.00751379	8	4	8	4	0	0	16	16	0.90625
9.84771	-6.44106	63.3876	0.000675149	0.00832811	8	3	8	4	0	0	15	15	0.9375
8.86294	-6.73158	66.8668	-0.0113855	0.0125932	8	4	8	4	0	0	15	15	0.9375
7.97664	-8.17912	66.1584	0.0109304	0.00911772	8	3	8	3	0	0	17	17	0.875
7.17898	-9.48538	65.716	0.0111344	0.0122645	8	4	8	3	0	0	16	16	0.90625
6.46108	-10.8317	61.732	-0.00621026	0.0177872	7	4	8	3	0	0	16	16	0.90625
5.81497	-10.5908	65.3196	-0.00293991	0.0198918	8	4	8	4	0	0	16	16	0.890625
5.23348	-12.3875	70.8457	-0.00101369	0.027044	7	4	7	4	0	0	18	18	0.84375
4.71013	-13.6275	69.8008	-0.000680824	0.0279413	7	4	7	4	0	0	19	19	0.75
4.23912	-15.0822	73.2061	-0.0114953	0.0398392	7	4	7	4	0	0	20	20	0.84375
3.8152	-17.0774	75.1882	0.00701731	0.0341652	7	4	7	4	0	0	22	22	0.765625
3.43368	-19.51	67.4705	0.00965057	0.037846	7	3	7	3	0	0	21	21	0.796875
